Column,layerid,title,description,layertype,creator,format,date,desc_date,place,subject,bbox
1579,vector_restricted:ESRI07EURMJRRIVERS,Europe Major Rivers : ESRI Data & Maps 2007,Europe Major Rivers contains the major rivers of Europe.,Polygon,AND International Publishers N.V.,Shapefile,2006,2005-2009,Europe,Rivers,"ENVELOPE(-21.053, 64.7046, 69.1807, 36.5676)"
1580,vector_restricted:ESRI05USBLKPOP_ND,ESRI Data & Maps 2005 : U.S. Census Block Centroid Populations : North Dakota,U.S. Census Block Centroid Populations : North Dakota represents the population of the U.S. Census block centroids for the state of North Dakota. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Environmental Systems Research Institute (Redlands, Calif.)",Shapefile,2000,2005-2009,North Dakota,Census,"ENVELOPE(-104.048663, -96.565141, 48.999932, 45.935239)"
1597,vector_restricted:INDIAVILL_DELHI,"State of Delhi, India : Village Socio-Demographic and Economic Census Data, 2001","This datalayer shows village locations with socio-demographic and economic Census data for 2001 for the State of Delhi, India. Includes village socio-demographic and economic Census attribute data such as total population, population by sex, household, literacy and illiteracy rates, and employment by industry. This layer is part of the VillageMap dataset which includes socio-demographic and economic Census data for 2001 at the village level for all the states of India. This data layer is sourced from secondary government sources, chiefly Survey of India, Census of India, Election Commission, etc. Scale 1:1,000,000.",Point,ML InfoMap (Firm),Shapefile,2001,2005-2009,India,Human settlements,"ENVELOPE(76.878548, 77.322586, 28.880447, 28.425135)"
1606,vector_restricted:ESRI06EURNUTS2,ESRI Data & Maps 2006 : Europe NUTS 2 Demographics,"Europe NUTS 2 Demographics represents areas of aggregated socioeconomic and demographic information at the NUTS 2 level for Europe. NUTS 2 units have a population between 800,000 and 3,000,000 people. NUTS (Nomenclature des Unites Territoriales Statistiques) refers to the Nomenclature of Territorial Units for Statistics. For more information: http://europa.eu.int/comm/eurostat/ramon/nuts/introduction_regions_en.html.",Polygon,Michael Bauer Research GmbH,Shapefile,2006,2005-2009,Europe,Demography,"ENVELOPE(-31.268789, 68.7161, 81.8602, 27.638029)"
1619,vector_restricted:ESRI04MXMUNI,ESRI Data & Maps 2004 : Mexico Municipalities,"Mexico Municipalities represents the Municipios of Mexico with coastlines, international boundaries, state boundaries, and Municipio boundaries.",Polygon,"Sistemas de Informacion Geografica, S.A.",Shapefile,2002,2005-2009,Mexico,Administrative and political divisions,"ENVELOPE(-118.365391, -86.710309, 32.718655, 14.533273)"
1634,vector_restricted:ESRI05EURNUTS0,ESRI Data & Maps 2005 : Europe NUTS 0 Demographics,Europe NUTS 0 Demographics represents aggregated socio-economic and demographic information at the NUTS 0 (country) level. NUTS (Nomenclature des Unites Territoriales Statistiques) refers to the Nomenclature of Territorial Units for Statistics. For more information: http://europa.eu.int/comm/eurostat/ramon/nuts/introduction_regions_en.html.,Polygon,Michael Bauer Research GmbH,Shapefile,2004,2005-2009,Europe,Demography,"ENVELOPE(-31.268789, 68.7161, 81.8602, 27.635003)"
1645,vector_public:AFRICOVER_ER_SPAT_AGG,Eritrea Spatially Aggregated Multipurpose Landcover Database,"Eritrea spatially aggregated multipurpose landcover database from The Multipurpose Africover Database for the Environmental Resources produced by the Food and Agriculture Organization of the United Nations (FAO). Scale of the dataset: 1:100,000. This dataset is a spatially reaggregated version of the original national Africover landcover multipurpose database. The land cover has been produced from visual interpretation of digitally enhanced LANDSAT TM images (Bands 4,3,2) acquired mainly in the year 1999. The land cover classes have been developed using the FAO/UNEP international standard LCCS classification system.",Polygon,Food and Agriculture Organization of the United Nations,Shapefile,2002,2005-2009,Eritrea,Land use,"ENVELOPE(36.344139, 43.197929, 18.089563, 12.297523)"
1648,vector_public:TG95ALKGLPY,"Key Geographic Locations, 1995 - Alabama","This datalayer displays the key geographic locations (KGLs), as definded by the US Census Bureau, for the state of Alabama. Essential attribute data included here are KGL Name and Census Feature Class Code (CFCC). Predominant features represented in this layer have CFCCs of: D21 (Apartment building or complex); D23 (Trailer court or mobile home park); D51 (Airport or airfield); D61 (Shopping center or major retail center). Key geographic locations (KGLs) represent a special class of address information. They provide a geocoding tool like address ranges, but also identify a spatial object similar to a landmark. The Census Bureau uses KGLs to identify named buildings where the use of the feature name enhances the ability to geocode addresses. These cases include airports, shopping centers, schools, condominiums, hotels, and apartment complexes. Even though the KGLs appear to identify specific structures, the KGL descriptions do not include location coordinates. In most cases, the Census Bureau can determine the general location of the KGL, but cannot provide a specific location with any certainty. The Census Bureau includes landmarks in the Census TIGER data base for locating special features and to help enumerators during field operations. The Census Bureau added landmark features on an as-needed-basis and made no attempt to ensure that all instances of a particular feature were included. The absence of a landmark does not mean that the living quarters, e.g., hospitals and group quarters associated with the landmark were excluded from the 1990 enumeration. A landmark can be a point, line, or area type. In some cases, the Census TIGER data base permits a choice of types. For instance, an airport or airfield might appear as a point, line, or area; the approach depends on the size of the feature and the depiction of the feature in the source document. Line features such as airfields could appear as one or more complete chains; they are not identified in the landmark record types A census feature class code (CFCC) is used to identify the most noticeable characteristic of a feature. The CFCC is applied only once to a chain or landmark with preference given to classifications that cover features that are visible to an observer and a part of the ground transportation network. Thus, a road that also is the boundary of a town would have a CFCC describing its road characteristics, not its boundary characteristics. The CFCC, as used in the TIGER/Line files, is a three-character code. The first character is a letter describing the feature class; the second character is a number describing the major category; and the third character is a number describing the minor category. Landmark (Feature Class D) is the general name given to a cartographic (or locational) landmark, a land-use area, and a key geographic location. A cartographic landmark is identified for use by an enumerator while working in the field. A land-use area is identified in order to minimize enumeration efforts in uninhabited areas or areas where human access is restricted. A key geographic location is identified in order to more accurately geocode and enumerate a place of work or residence.",Polygon,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1995,2005-2009,Alabama,transportation,"ENVELOPE(-88.293349, -85.214133, 34.896854, 30.25071)"
1675,vector_restricted:ESRI06USBLKPOP_UT,ESRI Data & Maps 2006 : U.S. Census Block Centroid Populations : Utah,U.S. Census Block Centroid Populations : Utah represents the populations of the U.S. Census blocks for the state of Utah. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Tele Atlas North America, Inc.",Shapefile,2004,2005-2009,Utah,Census,"ENVELOPE(-114.051529, -109.042108, 42.000359, 36.998403)"
1677,vector_restricted:INDIAMAP_DISTRICT,"India : District Boundaries, 2001","This datalayer shows District boundaries of India for 2001. Includes District socio-demographic Census attribute data such as total population, population by sex, rural/urban populations, household, literacy, and employment statistics. This layer is part of the IndiaMap dataset which includes socio-demographic and economic Census data for 2001 at the State, District, Sub-District, and Town levels. This data layer is sourced from secondary government sources, chiefly Survey of India, Census of India, Election Commission, etc. Scale 1:1,000,000.",Polygon,ML InfoMap (Firm),Shapefile,2001,2005-2009,India,Administrative and political divisions,"ENVELOPE(68.196831, 97.409096, 37.121712, 6.767454)"
1699,vector_restricted:ESRI05USDTL_RIVERS_NJ,ESRI Data & Maps 2005 : U.S. Rivers and Streams : New Jersey,U.S. Rivers and Streams : New Jersey represents detailed rivers and streams for the state of New Jersey.,Line,Geological Survey (U.S.),Shapefile,2004,2005-2009,New Jersey,Rivers,"ENVELOPE(-75.544986, -73.894331, 41.357054, 38.934362)"
1701,vector_restricted:KNG_CPAREA,"King County, Washington : community planning areas","Shows which Community Plan is relevant to which part of King County, Washington.",Polygon,King County (Wash.),Shapefile,2003,2005-2009,Washington,Municipal,"ENVELOPE(-122.542299, -121.061526, 47.788238, 47.073933)"
1704,vector_public:TG95ALAIRCUPY,"American Indian Reservations, 1995 - Alabama","This datalayer depicts feature location and other associated data for American Indian tribal entities in Alabama. Categories included here are: American Indian Reservation Names, Off-reservation trust lands, and various codes for legal or statistical entities. The 1995 TIGER/Line files are an extract of selected geographic and cartographic information from the Census TIGER data base. The geographic coverage for a single TIGER/Line file is a county or statistical equivalent entity, with the coverage area based on January 1, 1995 legal boundaries. The Census TIGER database represents a seamless national file with no overlaps or gaps between parts. However, each county-based TIGER/Line file is designed to stand alone as an independent data set or the files can be combined to cover the whole nation and its territories. The 1995 TIGER/Line files consist of line segments representing physical features and governmental and statistical boundaries. The files contain information distributed over a series of record types for the spatial objects of a county. Geographic information contained in the files includes attributes such as feature identifiers/census feature class codes (CFCC) used to differentiate feature types, address ranges and ZIP Codes, codes for legal and statistical entities, latitude and longitude coordinates of linear and point features, landmark point features, area landmarks, key geographic features, and area boundaries.",Polygon,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1995,2005-2009,Alabama,boundaries,"ENVELOPE(-87.57322, -86.207644, 32.531464, 31.070529)"
1709,vector_restricted:ESRI04MABLKPOP,ESRI Data & Maps 2004 : U.S. Census Block Centroid Populations : Massachusetts,U.S. Census Block Centroid Populations : Massachusetts represents the population of the U.S. Census block centroids for the state of Massachusetts. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Environmental Systems Research Institute (Redlands, Calif.)",Shapefile,2003,2005-2009,Massachusetts,Census,"ENVELOPE(-73.485709, -69.928455, 42.886382, 41.229845)"
1710,vector_restricted:KNG_JUDDST,"King County, Washington : judicial districts","This datalayer contains polygons representing King County, Washington judicial districts.",Polygon,King County (Wash.),Shapefile,2003,2005-2009,Washington,Municipal,"ENVELOPE(-122.542574, -121.061526, 47.788424, 47.073882)"
1712,vector_restricted:ESRI06USBLKPOP_KS,ESRI Data & Maps 2006 : U.S. Census Block Centroid Populations : Kansas,U.S. Census Block Centroid Populations : Kansas represents the populations of the U.S. Census blocks for the state of Kansas. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Tele Atlas North America, Inc.",Shapefile,2004,2005-2009,Kansas,Census,"ENVELOPE(-102.050566, -94.602316, 40.00234, 36.994532)"
1741,vector_public:MGISSUBBP2,MassGIS 2003 Massachusetts Drainage Sub-basins (Polygons) (March 2003),"This datalayers contains polygons representing Massachusetts drainage sub-basins (see also the Drainage Sub-basins (Arc) datalayer). MassGIS has produced a statewide digital datalayer of the approximately 2300 sub-basins as defined and used by the USGS Water Resources Division and the Mass Water Resources Commission and as modified by Executive Office of Environmental Affairs (EOEA) agencies. These sub-basins were aggregated together to make the 28 basins of the Major Basins Datalayer. Cape Cod and the Islands do not have much lateral 'surface' drainage because the soils are so porous. The sub-basin line shown for Cape Cod is the approximate groundwater divide between Cape Cod Bay, Vineyard Sound, and the Atlantic Ocean, taken from sub-surface groundwater contours.",Polygon,MassGIS (Office : Mass.),Shapefile,2003,2005-2009,Massachusetts,Watersheds,"ENVELOPE(-73.53335, -69.898477, 42.888351, 41.230341)"
1746,vector_public:TG95DCVOTPY,"Census Voting Districts, 1990 - District of Columbia","This datalayer displays the Voting Districts for the District of Columbia for 1990. A Voting District (VTD) is the generic name for a variety of geographic entities, such as precincts, legislative districts, wards, and election districts, established by state, local, and tribal governments for the purpose of conducting elections. The U.S. Census Bureau first reported data for VTDs following the 1980 census. The 1990 census term voting district replaces the 1980 term election precinct. Because the U.S. Census Bureau requires that VTDs follow boundaries of census blocks, participating states often adjusted the boundaries of the VTDs they submit to conform to pre-established census block boundaries.",Polygon,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1990,2005-2009,District of Columbia,boundaries,"ENVELOPE(-77.1194, -76.909395, 38.99511, 38.801813)"
1750,vector_restricted:KNG_CNGDST,"King County, Washington : Congressional districts",This data layer describes the boundaries of the Washington State Congressional districts within King County.,Polygon,King County (Wash.),Shapefile,2003,2005-2009,Washington,Municipal,"ENVELOPE(-122.542574, -121.061526, 47.788424, 47.073882)"
1752,vector_restricted:ESRI07USBLKPOP_AZ,Arizona U.S. Census Block Centroid Populations : ESRI Data & Maps 2007,Arizona U.S. Census Block Centroid Populations represents the populations of the U.S. Census blocks for the state of Arizona. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Tele Atlas North America, Inc.",Shapefile,2007,2005-2009,Arizona,Census,"ENVELOPE(-114.811593, -109.04567, 37.00156, 31.332876)"
1754,vector_restricted:CH2000_A_D,China county boundary with 2000 population Census data from 100% Short Form data (Part D: Tables A3 to A6),"This polygon datalayer includes China county boundary with 2000 population Census data from 100% Short Form data. This layer is one (Part D) of five layers (see also Parts A, B, C, and E) covering the entire Short Form data; this layer covers Short Form tables A3-2 to A3-3; A5-2 to A5-6; A6-1 to A6-3: A3-2 Index of age composition by region (I); A3-3 Index of age composition by region (II); A5-2 Family households with only one member by age and sex and by region; A5-3 Family households with one or more than one nationalities by region; A5-4 Family households with persons aged 0-19 by region; A5-5 Family households with persons aged 60 and over by region; A5-6 Family households with persons aged 65 and over by region; A6-1 Deaths by sex, age and region (1999.11.1-2000.10.31); A6-2 Deaths aged 6 and over by sex, education attainment and by region (1999.11.1-2000.10.31); A6-3 Deaths aged 15 and over by sex, marital status and by region (1999.11.1-2000.10.31). This datalayer is part of the China 2000 county population census data set produced by the All China Marketing Research Co. and distributed by the University of Michigan, China Data Center (2003). The new version (III) of 2000 county data include 2000 county boundary GIS map and several other GIS maps, integrated with more than 1,900 variables from 2000 population census data for counties and urban districts. Source scale: 1:1,000,000.",Polygon,Beijing Hua tong ren shi chang xin xi you xian ze ren gong si,Shapefile,2000,2005-2009,China,Census,"ENVELOPE(73.44696, 135.085831, 53.557926, 6.318641)"
1762,vector_public:TG95MALPY,"Census Landmark Polygon Features, 1995 - Massachusetts","This datalayer displays polygon landmark features throughout Massachusetts. 'Landmark' is the general name given to a cartographic (or locational) landmark, a land-use area, and a key geographic location (KGL). A cartographic landmark is identified for use by an enumerator while working in the field. A land-use area is identified in order to minimize enumeration efforts in uninhabited areas or areas where human access is restricted. A key geographic location is identified in order to more accurately geocode and enumerate a place of work or residence. Feature classes represented in this layer include bodies of water (bays, rivers, lakes, ponds, estuaries, creeks, etc.), campgrounds, cemeteries, state or local parks and forests, and airports.",Polygon,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1995,2005-2009,Massachusetts,transportation,"ENVELOPE(-73.48002, -69.858861, 42.874694, 41.198742)"
1763,vector_restricted:ESRI03USURBAN,ESRI Data & Maps 2003 : U.S. Urbanized Areas,"U.S. Urbanized Areas represents boundaries for urban areas with a population greater than 50,000. The data set covers the 50 States plus the District of Columbia and Puerto Rico within United States.",Polygon,United States. Bureau of Transportation Statistics,Shapefile,1990,2005-2009,United States,Metropolitan areas,"ENVELOPE(-158.081251, -65.778774, 61.462711, 17.88314)"
1764,vector_restricted:ESRI07USTRACTS,U.S. Census Tracts : ESRI Data & Maps 2007,U.S. Census Tracts represents the U.S. Census tracts of the United States in the 50 states and the District of Columbia.,Polygon,"Tele Atlas North America, Inc.",Shapefile,2007,2005-2009,United States,Census districts,"ENVELOPE(-178.227822, -65.244234, 71.390482, 17.881242)"
1767,vector_restricted:WVS_COCLN,"World Vector Shoreline 1:250,000","This datalayer is a polyline coverage representing coastlines and international boundaries for every continent including Antarctica at a scale of 1:250,000. Features in this layer have an FACC (Feature and Attribute Coding Catalogue) Codes of BA010, defined as, 'Coastline/Shoreline or, the line where a land mass is in contact with a body of water' and ZD003 'Artifact Location. An indicator which identifies incomplete or illogical data at a specific location (node), used for data processing only.' The World Vector Shoreline (WVS) dataset was developed by the National Imagery and Mapping Agency (formerly the U.S. Defense Mapping Agency - DMA) as a digital data file, at a nominal scale of 1:250,000 and referenced to the World Geodetic System (WGS-84) datum. The WVS is divided into ten ocean basin area files. VMAP data set products use the 'vector product format' (vpf) utilized first by the US Defense Mapping Agency and later by its successor, the National Imagery and Mapping Agency (NIMA, now known as the NGA). 'VMap' is derived from 'Vector Smart Map.'",Line,National Geospatial Intellience Agency (formerly the U.S. Defense Mapping Agency - DMA),Shapefile,2002,2005-2009,Caribbean Sea,boundaries,"ENVELOPE(-180, 180, 90, -90)"
1784,vector_public:TG95ALLKBLN,"Census Railroads, 1995 - Alabama","This datalayer displays a variety of railroad features throughout the state of Alabama. Categories represented here include: Primary rail line: A railroad in this category is the primary track that provides service between destinations. A main line track often carries the name of the owning and operating railroad company. Primary track tunnels and underpasses are also included. Rail Spur: A railroad in this category is the track that leaves the main track, and ends in an industrial park, factory, or warehouse area, or forms a siding along the main track Railroad Yard: A railroad yard track has parallel tracks that form a working area for the railroad company. Train cars and engines are repaired, switched, and dispatched from a yard. Railroads with special characteristics, or railroads or portions of a railroad track that are parts of the railroad system and have separately identifiable characteristics such as ferry crossings, carlines, a track for street cars, trolleys and other special types. These special characteristic feature types are not typically depicted in all layers. For example, Ferry crossings, or the representation of a route over water used by ships carrying train cars to connecting railroads on opposite shores, are are primarily located on the Great Lakes and will be found predominantly in railroad layers for states in that region.",Line,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1995,2005-2009,Alabama,transportation,"ENVELOPE(-88.448654, -84.968059, 35.003561, 30.384977)"
1793,vector_public:TG95DCLKALN,"Census Class A Roads, 1995 - District of Columbia","This datalayer displays the Type A class roads thoughout the District of Columbia. Feature Class A roads include: Primary roads with limited access (interstate highways, toll highways); Primary roads without limited access (US highways, some state highways and county highways that connect cities and larger towns); regional and state highways state highways, Secondary and connecting roads (includes mostly state highways, but may include some county highways that connect smaller towns, subdivisions, and neighborhoods); Local, neighborhood, and rural roads, city streets, and vehicular trails. According to the TIGER95 Data Dictionary, the definition of a divided highway has been the source of considerable discussion. Earlier specifications have defined a divided road as having, '..opposing traffic lanes that are physically separated by a median strip no less than 70 feet wide in former GBF/DIME areas or no less than 200 feet wide in non-GBF/DIME areas.' This definition caused confusion in the proper coding of interstates having narrow medians. To clarify the situation, the Census Bureau now uses the term divided to refer to a road with opposing traffic lanes separated by any size median, and separated to refer to lanes that are represented in the Census TIGER? data base as two distinct complete chains. Earlier operations may have depicted widely separated lanes as a single line in the data base or created separate lines when the median was small, depending on the available source used during the update. Road types possibly represented here are defined as follows: -Primary Highway With Limited Access (A1): Interstate highways and some toll highways are in this category and are distinguished by the presence of interchanges. These highways are accessed by way of ramps and have multiple lanes of traffic. The opposing traffic lanes are divided by a median strip. The TIGER/Line? files may depict these opposing traffic lanes as two distinct lines in which case, the road is called separated. -Primary Road Without Limited Access (A2): This category includes nationally and regionally important highways that do not have limited access as required by category A1. It consists mainly of US highways, but may include some state highways and county highways that connect cities and larger towns. A road in this category must be hard-surface (concrete or asphalt). It has intersections with other roads, may be divided or undivided, and have multilane or single-lane characteristics. -Secondary and Connecting Road (A3): This category includes mostly state highways, but may include some county highways that connect smaller towns, subdivisions, and neighborhoods. The roads in this category are smaller than roads in Category A2, must be hard-surface (concrete or asphalt), and are usually undivided with single-lane characteristics. These roads usually have a local name along with a route number and intersect with many other roads and driveways. -Local, Neighborhood, and Rural Road (A4): A road in this category is used for local traffic and usually has a single lane of traffic in each direction. In an urban area, this is a neighborhood road and street that is not a thoroughfare belonging in categories A2 or A3. In a rural area, this is a short-distance road connecting the smallest towns; the road may or may not have a state or county route number. Scenic park roads, unimproved or unpaved roads,and industrial roads are included in this category. Most roads in the Nation are classified as A4 roads. -Vehicular Trail (A5): A road in this category is usable only by four-wheel drive vehicles, is usually a one-lane dirt trail, and is found almost exclusively in very rural areas. Sometimes the road is called a fire road or logging road and may include an abandoned railroad grade where the tracks have been removed. Minor, unpaved roads usable by ordinary cars and trucks belong in category -Road with Special Characteristics (A6): This category includes roads, portions of a road, intersections of a road, or the ends of a road that are parts of the vehicular highway system and that have separately identifiable characteristics. -Road as Other Thoroughfare (A7): A road in this category is not part of the vehicular highway system. It is used by bicyclists or pedestrians, and is typically inaccessible to mainstream motor traffic except for private-owner and service vehicles. This category includes foot and hiking trails located on park and forest land, as well as stairs or walkways that follow a road right-of-way and have names similar to road names.",Line,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1995,2005-2009,District of Columbia,transportation,"ENVELOPE(-77.1169, -76.909395, 38.99481, 38.793013)"
1796,vector_restricted:ESRI04GAZ,ESRI Data & Maps 2004 : World Gazetteer,World Gazetteer represents the locations and proper names for map features around the world. The gazetteer includes attribute and annotation name information from various layers of the Digital Chart of the World.,Point,"Environmental Systems Research Institute (Redlands, Calif.)",Shapefile,1992,2005-2009,Earth,Gazetteers,"ENVELOPE(-179.989, 179.996991, 85.214, -86.906)"
1797,vector_restricted:ESRI05USDTL_RIVERS_IA,ESRI Data & Maps 2005 : U.S. Rivers and Streams : Iowa,U.S. Rivers and Streams : Iowa represents detailed rivers and streams for the state of Iowa.,Line,Geological Survey (U.S.),Shapefile,2004,2005-2009,Iowa,Rivers,"ENVELOPE(-96.639705, -90.140577, 43.501011, 40.378676)"
1804,vector_restricted:ESRI03POLORG02,ESRI Data & Maps 2003 : World Country Memberships of Political Organizations,"This polygon layer joins the World Country Memberships of Political Organizations attribute table to the ESRI Data & Maps 2003 : World Countries 2002 datalayer, to enable spatial displaying of World Country Memberships of Political Organizations attributes. World Country Memberships of Political Organizations (table) represents the memberships of countries in world political organizations such as the United Nations, the International Monetary Fund (IMF), and the Food and Agriculture Organization (FAO). World Countries 2002 represents the boundaries for the countries of the world, as they existed in September 2002.",Polygon,United States. Central Intelligence Agency,Shapefile,2002,2005-2009,Earth,International cooperation,"ENVELOPE(-180, 180, 83.623597, -90)"
1815,vector_restricted:KNG_KGBND,"King County, Washington : county boundary","This datalayers includes polygons representing the King County, Washington political boundary and major waterbodies.",Polygon,King County (Wash.),Shapefile,2003,2005-2009,Washington,Municipal,"ENVELOPE(-122.542299, -121.061526, 47.788238, 47.073933)"
1860,vector_public:TG95ALURBPY,"Census Urbanized Areas, 1995 - Alabama","This datalayer displays the Urbanized Areas (UAs) for the state of Alabama. The Census Bureau defines UAs as an area consisting of a central place(s) and adjacent urban fringe that together have a minimum residential population of at least 50,000 people and generally an overall population density of at least 1,000 people per square mile of land area. The Census Bureau uses published criteria to determine the qualification and boundaries of UAs. The U.S. Census Bureau classifies as urban all territory, population, and housing units located within urbanized areas (UAs). It delineates UA boundaries to encompass densely settled territory, which generally consists of: A cluster of one or more block groups or census blocks each of which has a population density of at least 1,000 people per square mile at the time, and Surrounding block groups and census blocks each of which has a population density of at least 500 people per square mile at the time, and Less densely settled blocks that form enclaves or indentations, or are used to connect discontiguous areas with qualifying densities.",Polygon,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1995,2005-2009,Alabama,boundaries,"ENVELOPE(-88.276402, -84.96303, 34.902151, 30.515294)"
1887,vector_restricted:ARCDETHYDRO,Atlanta Regional Commission Detailed Hydrographic Features,"This polyline datalayer depicts hydrographic features (major and intermittent streams and lakes) for the Atlanta Regional Commission's (ARC) 10-county region. ARC documentation states that: 'The geographic extent of this Theme is a rectangle based on USGS 7.5' quadrangles and extends beyond the Atlanta Region 5 miles to the north and west, and 15 miles to the south and east.'",Line,Atlanta Regional Commission (ARC),Shapefile,1993,2005-2009,Atlanta,inlandWater,"ENVELOPE(-84.999992, -83.49984, 34.500141, 33.00008)"
1893,vector_public:AFRICOVER_EG_TOWN,Egypt Towns,"Egypt towns from The Multipurpose Africover Database for the Environmental Resources produced by the Food and Agriculture Organization of the United Nations (FAO). Scale of the dataset: 1:200,000. The towns and major towns shapefiles were developed from data from the National Imagery and Mapping Agency (NIMA).",Point,Food and Agriculture Organization of the United Nations,Shapefile,2002,2005-2009,Egypt,Human Settlements,"ENVELOPE(25.15, 35.466667, 31.6, 23.9)"
1904,vector_public:GLB_CLPET,Global GIS : Global Climate Database : Potential evapotranspiration,"This datalayer is a point shapefile that shows long-term (1931-1960) mean monthly values for potential evapotranspiration (PET) (in millimeters) on a global terrestrial grid at 0.5 degree longitude/latitude spatial resolution. The dataset is a derived portion of the Global Climate Database (May 15, 1996) which is an updated version of the IIASA database for mean monthly values of temperature, precipitation and cloudiness on a global terrestrial grid (1991), first produced by Rik Leemans and Wolfgang Cramer, and published by the International Institute of Applied Systems Analyses and also distributed by the National Institute of Public Health and Environmental Protection (Netherlands). This version of the datalayer appears as part of the USGS Global GIS : global coverage database (2003). The evapotranspiration scheme used is developed by Prentice et al. Its reference is: Prentice, I.C., Sykes, M. Cramer, W., 1993. A simulation model for the transient effects of climate change on forest landscapes. Ecological Modelling, 65: 51-70. The USGS Global GIS database contains a wealth of USGS and other public domain data, including global coverages of elevation, landcover, seismicity, and resources of minerals and energy at a nominal scale of 1:1 million. The U.S. Geological Survey (USGS) and The American Geological Institute (AGI) announced a cooperative agreement that will focus on making the USGS Global Geographic Information System (GIS) database readily available to educators and the general public in the form of a DVD based world atlas.",Point,International Institute of Applied Systems Analyses,Shapefile,1931,2005-2009,Earth,Evapotranspiration,"ENVELOPE(-179.5, 180, 83, -56)"
1907,vector_restricted:INDIAVILL_MAHARASH,"Maharashtra, India : Village Socio-Demographic and Economic Census Data, 2001","This datalayer shows village locations with socio-demographic and economic Census data for 2001 for the state of Maharashtra, India. Includes village socio-demographic and economic Census attribute data such as total population, population by sex, household, literacy and illiteracy rates, and employment by industry. This layer is part of the VillageMap dataset which includes socio-demographic and economic Census data for 2001 at the village level for all the states of India. This data layer is sourced from secondary government sources, chiefly Survey of India, Census of India, Election Commission, etc. Scale 1:1,000,000.",Point,ML InfoMap (Firm),Shapefile,2001,2005-2009,India,Human settlements,"ENVELOPE(72.650146, 80.88018, 22.023031, 15.613328)"
1910,vector_restricted:ESRI05USBLKPOP_HI,ESRI Data & Maps 2005 : U.S. Census Block Centroid Populations : Hawaii,U.S. Census Block Centroid Populations : Hawaii represents the population of the U.S. Census block centroids for the state of Hawaii. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Environmental Systems Research Institute (Redlands, Calif.)",Shapefile,2000,2005-2009,Hawaii,Census,"ENVELOPE(-178.337382, -154.819468, 28.422804, 18.908999)"
1919,vector_restricted:ESRI04CANMJCITIES,ESRI Data & Maps 2004 : Canada Major Cities,Canada Major Cities represents locations of the largest cities within Canada. The major cities are based on the Canadian Geographic Names Database from Natural Resources Canada.,Point,DMTI Spatial Inc.,Shapefile,2002,2005-2009,Canada,Cities and towns,"ENVELOPE(-135.052418, -52.712691, 63.711036, 42.317518)"
1949,vector_restricted:ESRI05USDTL_RIVERS_CO,ESRI Data & Maps 2005 : U.S. Rivers and Streams : Colorado,U.S. Rivers and Streams : Colorado represents detailed rivers and streams for the state of Colorado.,Line,Geological Survey (U.S.),Shapefile,2004,2005-2009,Colorado,Rivers,"ENVELOPE(-109.060257, -102.04158, 41.003421, 36.992463)"
1953,vector_public:MGISAQUEDCTA,MassGIS 2003 Massachusetts aqueducts (July 1998),"The Aqueducts layer contains linework representing water-transporting conduits from 1:100,000 U.S. Geological Survey Digital Line Graph (DLG) files, with additional linework added by the Massachusetts Water Resources Authority.",Line,MassGIS (Office : Mass.),Shapefile,1998,2005-2009,Massachusetts,Aqueducts,"ENVELOPE(-73.20555, -70.804604, 42.590367, 41.989562)"
1959,vector_public:MGISSCHOOLX,MassGIS 2003 Massachusetts Schools (May 2002),"This datalayer shows the location of 1,898 public and 623 private schools, pre-school through high school, in Massachusetts. This data was developed by the Massachusetts Department of Environmental Protection's (DEP) GIS Program based on database information provided by the Massachusetts Department of Education (DOE).",Point,MassGIS (Office : Mass.),Shapefile,2002,2005-2009,Massachusetts,Schools,"ENVELOPE(-73.438657, -69.927086, 42.867356, 41.255925)"
